ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX
3.645,-0.1189,0.0156,1.0251,0.0534,0.5573,0.6107,
3.665,-0.1179,0.0176,1.0229,0.2214,0.5344,0.5267,
3.685,-0.1165,0.0176,1.0217,0.1832,0.5191,0.6183,
3.705,-0.1191,0.0156,1.0208,0.1603,0.6947,0.5878,
3.725,-0.1162,0.0159,1.0198,0.1603,0.5344,0.5267,
3.745,-0.1165,0.0159,1.0278,0.1908,0.5725,0.6641,
3.765,-0.1196,0.0171,1.0229,0.2672,0.4733,0.6183,
3.785,-0.1165,0.0112,1.0242,0.1603,0.5115,0.6412,
3.805,-0.1184,0.0156,1.0215,0.1221,0.4351,0.6489,
3.825,-0.1177,0.0137,1.0222,0.229,0.542,0.626,
3.845,-0.1162,0.0178,1.0208,0.1832,0.4962,0.6412,
3.865,-0.1213,0.0159,1.019,0.1603,0.5649,0.6183,
3.885,-0.1208,0.0134,1.0203,0.084,0.6031,0.5649,
3.905,-0.1208,0.0171,1.0215,0.1832,0.5649,0.5725,
3.926,-0.1184,0.0227,1.0234,0.1069,0.5725,0.6031,
3.945,-0.1177,0.02,1.0161,0.2824,0.3969,0.5344,
3.965,-0.1182,0.0176,1.0264,0.1145,0.4733,0.6183,
3.985,-0.1196,0.0164,1.0215,0.0916,0.5344,0.5802,
4.005,-0.1204,0.0103,1.0181,0.084,0.5344,0.6336,
4.025,-0.1187,0.0132,1.0173,0.1756,0.6947,0.687,
4.045,-0.1194,0.0144,1.0227,0.0687,0.6641,0.6565,
4.065,-0.1177,0.0168,1.0256,0.2366,0.5573,0.626,
4.085,-0.1184,0.0122,1.0264,0.2519,0.5267,0.4656,
4.105,-0.1165,0.0134,1.021,0.1985,0.5344,0.5802,
4.125,-0.1196,0.0142,1.0183,0.1985,0.626,0.6183,
4.145,-0.1167,0.0181,1.022,0.1298,0.4809,0.5878,
4.165,-0.1182,0.0186,1.0193,0.1527,0.4962,0.6107,
4.185,-0.1196,0.0195,1.0232,0.1985,0.5954,0.4885,
4.205,-0.1174,0.0154,1.0215,0.0916,0.5267,0.5725,
4.225,-0.1174,0.0156,1.0164,0.1298,0.4962,0.542,
4.245,-0.1189,0.0144,1.019,0.1527,0.4427,0.5573,
4.265,-0.1201,0.0164,1.0217,0.2901,0.6565,0.626,
4.285,-0.1179,0.0156,1.0232,0.1679,0.5191,0.5496,
4.305,-0.1169,0.0139,1.0242,0.2061,0.5496,0.7405,
4.325,-0.1199,0.0127,1.0168,0.1756,0.5878,0.5954,
4.345,-0.1201,0.0156,1.0229,0.0916,0.5115,0.6336,
4.365,-0.1223,0.0164,1.0227,0.145,0.5191,0.5725,
4.385,-0.1174,0.0146,1.0208,0.2519,0.5038,0.5649,
4.405,-0.1189,0.0195,1.0217,0.0382,0.6031,0.6947,
4.425,-0.1143,0.0146,1.0254,0.1374,0.4046,0.5954,
4.445,-0.1174,0.019,1.0212,0.1374,0.5344,0.5954,
4.465,-0.1196,0.0168,1.0227,0.145,0.6412,0.6107,
4.485,-0.1206,0.0125,1.0203,0.1145,0.6107,0.5802,
4.505,-0.1206,0.0137,1.0232,0.229,0.4504,0.6412,
4.525,-0.1162,0.0154,1.0215,0.145,0.5191,0.5267,
4.545,-0.1179,0.0137,1.0212,0.1221,0.5878,0.6183,
4.566,-0.1187,0.0188,1.0229,0.1221,0.5115,0.5115,
4.585,-0.1169,0.012,1.0237,0.2137,0.5649,0.626,
4.605,-0.1191,0.0112,1.0264,0.1832,0.5649,0.5649,
4.625,-0.1174,0.0127,1.0229,0.1374,0.5954,0.626,
4.645,-0.1177,0.0173,1.0212,0.229,0.6031,0.6565,
4.665,-0.1184,0.0171,1.0254,0.1298,0.5725,0.6641,
4.685,-0.1179,0.0154,1.0271,0.0687,0.5267,0.5725,
4.705,-0.116,0.0171,1.0212,0.2137,0.542,0.6794,
4.725,-0.1187,0.0186,1.0244,0.1069,0.5191,0.6641,
4.745,-0.1165,0.0166,1.0203,0.1985,0.6031,0.6718,
4.765,-0.1133,0.0168,1.0146,0.1756,0.5115,0.5954,
4.785,-0.1169,0.0144,1.0259,0.1985,0.6031,0.6794,
4.805,-0.1201,0.0156,1.0251,0.2137,0.6794,0.5725,
4.825,-0.1187,0.0137,1.0203,0.1908,0.5115,0.7023,
4.845,-0.1155,0.0132,1.0291,0.1756,0.5725,0.6107,
4.865,-0.1196,0.0161,1.019,0.1298,0.6489,0.5878,
4.885,-0.1184,0.0161,1.0217,0.084,0.5038,0.6336,
4.905,-0.1155,0.0181,1.0198,0.1298,0.5115,0.5649,
4.925,-0.1165,0.0161,1.0215,0.2061,0.5878,0.6489,
4.945,-0.1194,0.0164,1.0232,0.0763,0.4885,0.6336,
4.965,-0.1191,0.0176,1.0234,0.1679,0.4198,0.5802,
4.985,-0.1167,0.0164,1.0212,0.2061,0.7176,0.5725,
5.005,-0.1228,0.0156,1.0225,0.145,0.4962,0.5344,
5.025,-0.1189,0.0156,1.0266,0.1527,0.5649,0.6489,
5.045,-0.1147,0.0154,1.0291,0.1527,0.4733,0.6183,
5.065,-0.115,0.0127,1.0212,0.2137,0.4351,0.5191,
5.085,-0.1182,0.0173,1.0173,0.0305,0.5267,0.5573,
5.105,-0.1199,0.0142,1.0234,0.1221,0.5649,0.6031,
5.125,-0.1167,0.0181,1.0242,0.1221,0.5649,0.687,
5.145,-0.1135,0.0161,1.0178,0.1221,0.6641,0.6336,
5.165,-0.1189,0.0154,1.0208,0.1908,0.6412,0.6183,
5.185,-0.1179,0.0161,1.0217,0.145,0.5267,0.6947,
5.206,-0.1157,0.0188,1.0198,0.1679,0.5649,0.5267,
5.225,-0.1184,0.0129,1.0154,0.1679,0.5802,0.5573,
5.245,-0.1182,0.0144,1.02,0.145,0.5649,0.6031,
5.265,-0.1155,0.0168,1.0161,0.1832,0.5191,0.5725,
5.285,-0.1199,0.019,1.0217,0.1832,0.5344,0.5954,
5.305,-0.1167,0.02,1.0203,0.229,0.6641,0.5267,
5.325,-0.1196,0.011,1.0188,0.0992,0.6412,0.626,
5.345,-0.1194,0.0127,1.019,0.0611,0.4656,0.6565,
5.365,-0.1165,0.0142,1.0161,0.145,0.5115,0.5878,
5.385,-0.1169,0.0144,1.0203,0.1069,0.4885,0.5725,
5.405,-0.1187,0.0161,1.0247,0.1908,0.5954,0.5802,
5.425,-0.1179,0.0156,1.0239,0.1374,0.626,0.5878,
5.445,-0.1155,0.0144,1.0198,0.2137,0.5649,0.6794,
5.465,-0.1208,0.0159,1.0222,0.1985,0.5115,0.6489,
5.485,-0.1145,0.0132,1.0195,0.1221,0.5496,0.5267,
5.505,-0.1211,0.0127,1.0281,0.1527,0.5344,0.5649,
5.525,-0.1187,0.0154,1.0212,0.2824,0.5496,0.7176,
5.545,-0.1162,0.0176,1.0198,0.1985,0.5573,0.5649,
5.565,-0.1157,0.0173,1.0195,0.1298,0.4504,0.5496,
5.585,-0.1191,0.0125,1.0193,0.1145,0.5496,0.6336,
5.605,-0.1152,0.0156,1.0176,0.1603,0.5878,0.5573,
5.625,-0.1182,0.0151,1.0176,0.1069,0.4809,0.6183,
5.645,-0.1187,0.0137,1.02,0.1527,0.4885,0.5496,
5.665,-0.1182,0.0171,1.0239,0.1527,0.5038,0.6031,
5.685,-0.1177,0.0137,1.0205,0.1679,0.458,0.6107,
5.705,-0.1167,0.0159,1.0212,0.1832,0.5038,0.6336,
5.725,-0.1174,0.0168,1.0239,0.1985,0.5573,0.626,
5.745,-0.1167,0.0156,1.021,0.1298,0.5344,0.6565,
5.765,-0.1208,0.0168,1.0242,0.2595,0.6412,0.7099,
5.785,-0.1191,0.0142,1.0237,0.2443,0.5267,0.6336,
5.805,-0.1162,0.0166,1.0212,0.1756,0.5344,0.6031,
5.825,-0.1174,0.0178,1.0247,0.145,0.6183,0.6718,
5.846,-0.1208,0.0171,1.0232,0.1527,0.458,0.5573,
5.865,-0.1204,0.0146,1.0212,0.1374,0.5115,0.5573,
5.885,-0.1143,0.012,1.0225,0.1679,0.5725,0.6794,
5.905,-0.1199,0.0166,1.0188,0.1145,0.5878,0.5344,
5.925,-0.1172,0.0168,1.0227,0.1985,0.5038,0.5802,
5.945,-0.1199,0.0181,1.0203,0.1985,0.542,0.5573,
5.965,-0.1135,0.0149,1.0234,0.1908,0.5573,0.6641,
5.985,-0.1145,0.0164,1.0212,0.1603,0.5725,0.6107,
6.005,-0.1162,0.0144,1.0193,0.0687,0.7099,0.5802,
6.025,-0.1165,0.0151,1.021,0.1069,0.4885,0.5802,
6.045,-0.1199,0.012,1.0208,0.1985,0.542,0.6412,
6.065,-0.1147,0.0149,1.0173,0.0611,0.5725,0.6336,
6.085,-0.1179,0.0186,1.0173,0.0916,0.626,0.5725,
6.105,-0.1177,0.0159,1.0247,0.1069,0.5725,0.5878,
6.125,-0.123,0.0132,1.0171,0.1756,0.5802,0.5038,
6.145,-0.1172,0.0125,1.0178,0.2137,0.5725,0.542,
6.165,-0.1147,0.0132,1.0269,0.2061,0.4504,0.687,
6.185,-0.1167,0.0159,1.0142,0.1679,0.5878,0.5802,
6.205,-0.1167,0.0168,1.0183,0.1908,0.6107,0.5496,
6.225,-0.1196,0.0154,1.0232,0.1679,0.6031,0.4809,
6.245,-0.1199,0.0168,1.0193,0.2214,0.5573,0.5191,
6.265,-0.1135,0.0183,1.0215,0.1298,0.5496,0.6336,
6.285,-0.1179,0.0164,1.0247,0.229,0.542,0.6107,
6.305,-0.1189,0.0137,1.0205,0.1756,0.5802,0.6183,
6.325,-0.1152,0.0132,1.0215,0.1908,0.5496,0.5649,
6.345,-0.1121,0.0161,1.0227,0.2443,0.4885,0.6183,
6.365,-0.1169,0.0176,1.0232,0.1832,0.5267,0.6412,
6.385,-0.1211,0.0159,1.0237,0.2519,0.542,0.6336,
6.405,-0.1204,0.0156,1.0139,0.2366,0.5496,0.5878,
6.425,-0.1157,0.0146,1.0242,0.2214,0.4275,0.5573,
6.445,-0.1133,0.0164,1.022,0.1527,0.5802,0.6183,
6.465,-0.1167,0.0186,1.022,0.229,0.4809,0.6183,
6.486,-0.1194,0.0159,1.022,0.1527,0.5649,0.5878,
6.505,-0.1174,0.0176,1.0173,0.1298,0.5496,0.6336,
6.525,-0.1162,0.0186,1.0171,0.1603,0.5191,0.5954,
