ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX,DeltaTime,Angle,Drift Per Min
4.925,-0.1165,0.0161,1.0215,0.2061,0.5878,0.6489,,0.02,0.5847178,
4.945,-0.1194,0.0164,1.0232,0.0763,0.4885,0.6336,,0.02,0.5862438,
4.965,-0.1191,0.0176,1.0234,0.1679,0.4198,0.5802,,0.02,0.5896018,
4.985,-0.1167,0.0164,1.0212,0.2061,0.7176,0.5725,,0.02,0.5937238,
5.005,-0.1228,0.0156,1.0225,0.145,0.4962,0.5344,,0.02,0.5966238,
5.025,-0.1189,0.0156,1.0266,0.1527,0.5649,0.6489,,0.02,0.5996778,
5.045,-0.1147,0.0154,1.0291,0.1527,0.4733,0.6183,,0.02,0.6027318,
5.065,-0.115,0.0127,1.0212,0.2137,0.4351,0.5191,,0.02,0.6070058,
5.085,-0.1182,0.0173,1.0173,0.0305,0.5267,0.5573,,0.02,0.6076158,
5.105,-0.1199,0.0142,1.0234,0.1221,0.5649,0.6031,,0.02,0.6100578,
5.125,-0.1167,0.0181,1.0242,0.1221,0.5649,0.687,,0.02,0.6124998,
5.145,-0.1135,0.0161,1.0178,0.1221,0.6641,0.6336,,0.02,0.6149418,
5.165,-0.1189,0.0154,1.0208,0.1908,0.6412,0.6183,,0.02,0.6187578,
5.185,-0.1179,0.0161,1.0217,0.145,0.5267,0.6947,,0.021,0.6218028,
5.206,-0.1157,0.0188,1.0198,0.1679,0.5649,0.5267,,0.019,0.6249929,
5.225,-0.1184,0.0129,1.0154,0.1679,0.5802,0.5573,,0.02,0.6283509,
5.245,-0.1182,0.0144,1.02,0.145,0.5649,0.6031,,0.02,0.6312509,
5.265,-0.1155,0.0168,1.0161,0.1832,0.5191,0.5725,,0.02,0.6349149,
5.285,-0.1199,0.019,1.0217,0.1832,0.5344,0.5954,,0.02,0.6385789,
5.305,-0.1167,0.02,1.0203,0.229,0.6641,0.5267,,0.02,0.6431589,
